Well	Sample Name	Detector Name	Reporter	Task	Ct
197	NTC	B2m	SYBR	Unknown	Undetermined
198	NTC	B2m	SYBR	Unknown	Undetermined
199	NTC	B2m	SYBR	Unknown	34.367332
















153	119B	PITPNC1	SYBR	Unknown	28.811344
154	119B	PITPNC1	SYBR	Unknown	27.193777
155	119B	PITPNC1	SYBR	Unknown	27.660875
157	121B	PITPNC1	SYBR	Unknown	27.746822
158	121B	PITPNC1	SYBR	Unknown	28.360315
159	121B	PITPNC1	SYBR	Unknown	27.905373
161	124B	PITPNC1	SYBR	Unknown	29.846075
162	124B	PITPNC1	SYBR	Unknown	29.437084
163	124B	PITPNC1	SYBR	Unknown	30.265478
9	14B	PITPNC1	SYBR	Unknown	32.78769
10	14B	PITPNC1	SYBR	Unknown	31.613047
11	14B	PITPNC1	SYBR	Unknown	31.373882
13	15B	PITPNC1	SYBR	Unknown	26.982965
14	15B	PITPNC1	SYBR	Unknown	27.728611
15	15B	PITPNC1	SYBR	Unknown	27.839165
17	18B	PITPNC1	SYBR	Unknown	30.3907
18	18B	PITPNC1	SYBR	Unknown	30.648447
19	18B	PITPNC1	SYBR	Unknown	30.3289
21	18B1	PITPNC1	SYBR	Unknown	28.392958
22	18B1	PITPNC1	SYBR	Unknown	28.420647
23	18B1	PITPNC1	SYBR	Unknown	28.143194
1	1B	PITPNC1	SYBR	Unknown	25.634123
2	1B	PITPNC1	SYBR	Unknown	25.725096
3	1B	PITPNC1	SYBR	Unknown	26.134602
29	20B	PITPNC1	SYBR	Unknown	27.681162
30	20B	PITPNC1	SYBR	Unknown	27.574211
31	20B	PITPNC1	SYBR	Unknown	27.804325
25	20B1	PITPNC1	SYBR	Unknown	28.74187
26	20B1	PITPNC1	SYBR	Unknown	28.519754
27	20B1	PITPNC1	SYBR	Unknown	28.126057
33	22B	PITPNC1	SYBR	Unknown	29.296726
34	22B	PITPNC1	SYBR	Unknown	28.546787
35	22B	PITPNC1	SYBR	Unknown	29.118158
37	27B	PITPNC1	SYBR	Unknown	27.515202
38	27B	PITPNC1	SYBR	Unknown	9.098702
39	27B	PITPNC1	SYBR	Unknown	26.62967
41	30B	PITPNC1	SYBR	Unknown	29.500435
42	30B	PITPNC1	SYBR	Unknown	29.396803
43	30B	PITPNC1	SYBR	Unknown	29.057003
45	31B	PITPNC1	SYBR	Unknown	29.824028
46	31B	PITPNC1	SYBR	Unknown	29.80629
47	31B	PITPNC1	SYBR	Unknown	30.420324
49	33B	PITPNC1	SYBR	Unknown	27.131178
50	33B	PITPNC1	SYBR	Unknown	27.360165
51	33B	PITPNC1	SYBR	Unknown	27.531956
53	35B1	PITPNC1	SYBR	Unknown	29.357056
54	35B1	PITPNC1	SYBR	Unknown	29.454695
55	35B1	PITPNC1	SYBR	Unknown	29.925468
61	37B	PITPNC1	SYBR	Unknown	26.51635
62	37B	PITPNC1	SYBR	Unknown	26.273968
63	37B	PITPNC1	SYBR	Unknown	26.478718
57	37B1	PITPNC1	SYBR	Unknown	29.502226
58	37B1	PITPNC1	SYBR	Unknown	29.03381
59	37B1	PITPNC1	SYBR	Unknown	28.833218
65	38B	PITPNC1	SYBR	Unknown	26.909323
66	38B	PITPNC1	SYBR	Unknown	27.137253
67	38B	PITPNC1	SYBR	Unknown	26.98406
69	39B	PITPNC1	SYBR	Unknown	25.260187
70	39B	PITPNC1	SYBR	Unknown	25.150757
71	39B	PITPNC1	SYBR	Unknown	25.37353
73	40B1	PITPNC1	SYBR	Unknown	31.431938
74	40B1	PITPNC1	SYBR	Unknown	30.876896
75	40B1	PITPNC1	SYBR	Unknown	31.820814
77	40B2	PITPNC1	SYBR	Unknown	31.159113
78	40B2	PITPNC1	SYBR	Unknown	30.765934
79	40B2	PITPNC1	SYBR	Unknown	30.093826
81	41B	PITPNC1	SYBR	Unknown	34.411903
82	41B	PITPNC1	SYBR	Unknown	32.517815
83	41B	PITPNC1	SYBR	Unknown	33.91223
85	41B1	PITPNC1	SYBR	Unknown	30.627304
86	41B1	PITPNC1	SYBR	Unknown	32.914703
87	41B1	PITPNC1	SYBR	Unknown	30.190292
93	42B	PITPNC1	SYBR	Unknown	24.968727
94	42B	PITPNC1	SYBR	Unknown	24.773329
95	42B	PITPNC1	SYBR	Unknown	25.093178
89	42B1	PITPNC1	SYBR	Unknown	26.89384
90	42B1	PITPNC1	SYBR	Unknown	26.644875
91	42B1	PITPNC1	SYBR	Unknown	26.911528
97	44B2	PITPNC1	SYBR	Unknown	30.857496
98	44B2	PITPNC1	SYBR	Unknown	31.290577
99	44B2	PITPNC1	SYBR	Unknown	31.466175
101	63B	PITPNC1	SYBR	Unknown	30.510561
102	63B	PITPNC1	SYBR	Unknown	30.386866
103	63B	PITPNC1	SYBR	Unknown	31.385635
105	64B	PITPNC1	SYBR	Unknown	30.922295
106	64B	PITPNC1	SYBR	Unknown	30.690866
107	64B	PITPNC1	SYBR	Unknown	31.34933
109	67B	PITPNC1	SYBR	Unknown	29.839943
110	67B	PITPNC1	SYBR	Unknown	29.62988
111	67B	PITPNC1	SYBR	Unknown	30.252857
113	68B	PITPNC1	SYBR	Unknown	26.249725
114	68B	PITPNC1	SYBR	Unknown	26.368164
115	68B	PITPNC1	SYBR	Unknown	27.293156
285	71B	PITPNC1	SYBR	Unknown	28.105392
286	71B	PITPNC1	SYBR	Unknown	28.664394
287	71B	PITPNC1	SYBR	Unknown	28.701233
121	72B	PITPNC1	SYBR	Unknown	28.0122
122	72B	PITPNC1	SYBR	Unknown	29.33718
123	72B	PITPNC1	SYBR	Unknown	30.419882
125	74B	PITPNC1	SYBR	Unknown	23.75881
126	74B	PITPNC1	SYBR	Unknown	23.879417
127	74B	PITPNC1	SYBR	Unknown	23.653572
129	75B	PITPNC1	SYBR	Unknown	26.819769
130	75B	PITPNC1	SYBR	Unknown	27.767954
131	75B	PITPNC1	SYBR	Unknown	27.29173
137	76B	PITPNC1	SYBR	Unknown	29.7665
138	76B	PITPNC1	SYBR	Unknown	30.208254
139	76B	PITPNC1	SYBR	Unknown	30.278713
5	7B	PITPNC1	SYBR	Unknown	31.590775
6	7B	PITPNC1	SYBR	Unknown	32.180977
7	7B	PITPNC1	SYBR	Unknown	32.10298
141	81B	PITPNC1	SYBR	Unknown	26.390991
142	81B	PITPNC1	SYBR	Unknown	27.357403
143	81B	PITPNC1	SYBR	Unknown	28.457914
133	82B	PITPNC1	SYBR	Unknown	29.796183
134	82B	PITPNC1	SYBR	Unknown	29.537783
135	82B	PITPNC1	SYBR	Unknown	30.230846
149	84B	PITPNC1	SYBR	Unknown	29.868933
150	84B	PITPNC1	SYBR	Unknown	30.22205
151	84B	PITPNC1	SYBR	Unknown	29.912949
145	84B1	PITPNC1	SYBR	Unknown	29.789242
146	84B1	PITPNC1	SYBR	Unknown	29.60611
147	84B1	PITPNC1	SYBR	Unknown	29.635141
165	N1 SCOMP	PITPNC1	SYBR	Unknown	29.514503
166	N1 SCOMP	PITPNC1	SYBR	Unknown	29.713844
167	N1 SCOMP	PITPNC1	SYBR	Unknown	30.599136
169	N34 WGA	PITPNC1	SYBR	Unknown	26.072865
170	N34 WGA	PITPNC1	SYBR	Unknown	26.499891
171	N34 WGA	PITPNC1	SYBR	Unknown	26.413532
173	NTC	PITPNC1	SYBR	Unknown	Undetermined
174	NTC	PITPNC1	SYBR	Unknown	Undetermined
175	NTC	PITPNC1	SYBR	Unknown	Undetermined
