Well	Sample Name	Detector Name	Reporter	Task	Ct
225	119B	B2m	SYBR	Unknown	30.728394
226	119B	B2m	SYBR	Unknown	30.696072
227	119B	B2m	SYBR	Unknown	31.24263
229	121B	B2m	SYBR	Unknown	32.245224
230	121B	B2m	SYBR	Unknown	32.31371
231	121B	B2m	SYBR	Unknown	31.980026
233	124B	B2m	SYBR	Unknown	32.98993
234	124B	B2m	SYBR	Unknown	33.964077
235	124B	B2m	SYBR	Unknown	33.455593
369	14B	B2m	SYBR	Unknown	30.323215
370	14B	B2m	SYBR	Unknown	30.18613
371	14B	B2m	SYBR	Unknown	30.158924
373	15B	B2m	SYBR	Unknown	32.406013
374	15B	B2m	SYBR	Unknown	32.462906
375	15B	B2m	SYBR	Unknown	32.216785
381	18B	B2m	SYBR	Unknown	32.516354
382	18B	B2m	SYBR	Unknown	32.408413
383	18B	B2m	SYBR	Unknown	32.92173
377	18B1	B2m	SYBR	Unknown	31.603863
378	18B1	B2m	SYBR	Unknown	31.906162
379	18B1	B2m	SYBR	Unknown	32.00226
361	1B	B2m	SYBR	Unknown	31.813913
362	1B	B2m	SYBR	Unknown	32.322388
363	1B	B2m	SYBR	Unknown	32.453926
341	20B	B2m	SYBR	Unknown	31.115713
342	20B	B2m	SYBR	Unknown	31.148016
343	20B	B2m	SYBR	Unknown	31.612309
337	20B1	B2m	SYBR	Unknown	32.006065
338	20B1	B2m	SYBR	Unknown	32.028004
339	20B1	B2m	SYBR	Unknown	31.692614
345	22B	B2m	SYBR	Unknown	30.628195
346	22B	B2m	SYBR	Unknown	30.637127
347	22B	B2m	SYBR	Unknown	30.698183
349	27B	B2m	SYBR	Unknown	30.260681
350	27B	B2m	SYBR	Unknown	30.133785
351	27B	B2m	SYBR	Unknown	30.136015
329	30B	B2m	SYBR	Unknown	31.97124
330	30B	B2m	SYBR	Unknown	32.669956
331	30B	B2m	SYBR	Unknown	31.960234
353	30B	B2m	SYBR	Unknown	32.653812
354	30B	B2m	SYBR	Unknown	31.626543
355	30B	B2m	SYBR	Unknown	31.684952
333	31B	B2m	SYBR	Unknown	32.57116
334	31B	B2m	SYBR	Unknown	30.901955
335	31B	B2m	SYBR	Unknown	30.84452
357	31B	B2m	SYBR	Unknown	32.574528
358	31B	B2m	SYBR	Unknown	32.062077
