Well	Sample Name	Detector Name	Reporter	Task	Ct
121	126A	PITPNC1	SYBR	Unknown	Undetermined
122	126A	PITPNC1	SYBR	Unknown	24.85163
123	126A	PITPNC1	SYBR	Unknown	25.00261
125	128A	PITPNC1	SYBR	Unknown	27.253609
126	128A	PITPNC1	SYBR	Unknown	28.507536
127	128A	PITPNC1	SYBR	Unknown	30.136496
5	12A	PITPNC1	SYBR	Unknown	18.723465
6	12A	PITPNC1	SYBR	Unknown	18.893606
7	12A	PITPNC1	SYBR	Unknown	19.577555
129	130A	PITPNC1	SYBR	Unknown	20.820633
130	130A	PITPNC1	SYBR	Unknown	20.573391
131	130A	PITPNC1	SYBR	Unknown	Undetermined
133	132A	PITPNC1	SYBR	Unknown	21.717398
134	132A	PITPNC1	SYBR	Unknown	22.037014
135	132A	PITPNC1	SYBR	Unknown	22.329233
9	13A	PITPNC1	SYBR	Unknown	Undetermined
10	13A	PITPNC1	SYBR	Unknown	24.781845
11	13A	PITPNC1	SYBR	Unknown	25.11894
13	14A	PITPNC1	SYBR	Unknown	Undetermined
14	14A	PITPNC1	SYBR	Unknown	28.792112
15	14A	PITPNC1	SYBR	Unknown	27.920391
17	17A	PITPNC1	SYBR	Unknown	Undetermined
18	17A	PITPNC1	SYBR	Unknown	Undetermined
19	17A	PITPNC1	SYBR	Unknown	Undetermined
1	18A2	PITPNC1	SYBR	Unknown	26.43092
2	18A2	PITPNC1	SYBR	Unknown	28.171808
3	18A2	PITPNC1	SYBR	Unknown	27.052406
25	19A	PITPNC1	SYBR	Unknown	23.958261
26	19A	PITPNC1	SYBR	Unknown	24.314228
27	19A	PITPNC1	SYBR	Unknown	Undetermined
29	23A	PITPNC1	SYBR	Unknown	24.220358
30	23A	PITPNC1	SYBR	Unknown	24.438593
31	23A	PITPNC1	SYBR	Unknown	Undetermined
33	23A	PITPNC1	SYBR	Unknown	28.109299
34	23A	PITPNC1	SYBR	Unknown	30.82559
35	23A	PITPNC1	SYBR	Unknown	29.581663
37	24A	PITPNC1	SYBR	Unknown	Undetermined
38	24A	PITPNC1	SYBR	Unknown	23.403719
39	24A	PITPNC1	SYBR	Unknown	24.512007
41	25A	PITPNC1	SYBR	Unknown	24.85001
42	25A	PITPNC1	SYBR	Unknown	24.988192
43	25A	PITPNC1	SYBR	Unknown	24.139032
46	27A	PITPNC1	SYBR	Unknown	Undetermined
47	27A	PITPNC1	SYBR	Unknown	Undetermined
48	27A	PITPNC1	SYBR	Unknown	Undetermined
53	30A	PITPNC1	SYBR	Unknown	26.179686
54	30A	PITPNC1	SYBR	Unknown	27.257486
55	30A	PITPNC1	SYBR	Unknown	27.093395
49	31A	PITPNC1	SYBR	Unknown	24.88206
50	31A	PITPNC1	SYBR	Unknown	Undetermined
51	31A	PITPNC1	SYBR	Unknown	25.979963
57	32A	PITPNC1	SYBR	Unknown	24.637674
58	32A	PITPNC1	SYBR	Unknown	25.280851
59	32A	PITPNC1	SYBR	Unknown	24.879622
61	37A	PITPNC1	SYBR	Unknown	23.508234
62	37A	PITPNC1	SYBR	Unknown	22.037148
63	37A	PITPNC1	SYBR	Unknown	22.785025
65	38A	PITPNC1	SYBR	Unknown	22.761364
