Well	Sample Name	Detector Name	Reporter	Task	Ct
265	119A	B2m	SYBR	Unknown	30.643867
266	119A	B2m	SYBR	Unknown	28.849226
267	119A	B2m	SYBR	Unknown	29.999138
269	122A3	B2m	SYBR	Unknown	27.568815
270	122A3	B2m	SYBR	Unknown	27.486681
271	122A3	B2m	SYBR	Unknown	27.59032
273	124A2	B2m	SYBR	Unknown	29.988098
274	124A2	B2m	SYBR	Unknown	31.695795
275	124A2	B2m	SYBR	Unknown	33.085285
277	126A	B2m	SYBR	Unknown	28.400894
278	126A	B2m	SYBR	Unknown	27.514795
279	126A	B2m	SYBR	Unknown	26.363699
281	128A	B2m	SYBR	Unknown	27.883614
282	128A	B2m	SYBR	Unknown	28.383102
283	128A	B2m	SYBR	Unknown	28.355568
361	12A	B2m	SYBR	Unknown	Undetermined
362	12A	B2m	SYBR	Unknown	Undetermined
363	12A	B2m	SYBR	Unknown	Undetermined
285	130A	B2m	SYBR	Unknown	Undetermined
286	130A	B2m	SYBR	Unknown	Undetermined
287	130A	B2m	SYBR	Unknown	Undetermined
245	132A	B2m	SYBR	Unknown	27.828554
246	132A	B2m	SYBR	Unknown	28.083544
247	132A	B2m	SYBR	Unknown	23.412237
365	13A	B2m	SYBR	Unknown	26.878263
366	13A	B2m	SYBR	Unknown	27.157787
367	13A	B2m	SYBR	Unknown	26.760902
369	14A	B2m	SYBR	Unknown	27.40459
370	14A	B2m	SYBR	Unknown	28.46779
371	14A	B2m	SYBR	Unknown	25.876026
373	18A2	B2m	SYBR	Unknown	30.548588
374	18A2	B2m	SYBR	Unknown	29.372547
375	18A2	B2m	SYBR	Unknown	28.808783
377	19A	B2m	SYBR	Unknown	27.916512
378	19A	B2m	SYBR	Unknown	27.272778
379	19A	B2m	SYBR	Unknown	27.330244
337	23A	B2m	SYBR	Unknown	27.35865
338	23A	B2m	SYBR	Unknown	27.619436
339	23A	B2m	SYBR	Unknown	27.748653
381	23A	B2m	SYBR	Unknown	31.572174
382	23A	B2m	SYBR	Unknown	30.699009
383	23A	B2m	SYBR	Unknown	31.545876
341	24A	B2m	SYBR	Unknown	28.2621
342	24A	B2m	SYBR	Unknown	27.313194
343	24A	B2m	SYBR	Unknown	28.004538
345	25A	B2m	SYBR	Unknown	28.374828
346	25A	B2m	SYBR	Unknown	28.710815
347	25A	B2m	SYBR	Unknown	28.607693
349	30A	B2m	SYBR	Unknown	27.209087
350	30A	B2m	SYBR	Unknown	27.456482
351	30A	B2m	SYBR	Unknown	27.44054
353	31A	B2m	SYBR	Unknown	26.931332
354	31A	B2m	SYBR	Unknown	26.850832
355	31A	B2m	SYBR	Unknown	26.750645
357	32A	B2m	SYBR	Unknown	28.189074
358	32A	B2m	SYBR	Unknown	27.711182
359	32A	B2m	SYBR	Unknown	27.85316
313	37A	B2m	SYBR	Unknown	26.214506
314	37A	B2m	SYBR	Unknown	26.325659
315	37A	B2m	SYBR	Unknown	26.73787
317	38A	B2m	SYBR	Unknown	Undetermined
318	38A	B2m	SYBR	Unknown	Undetermined
319	38A	B2m	SYBR	Unknown	Undetermined
321	39A	B2m	SYBR	Unknown	Undetermined
322	39A	B2m	SYBR	Unknown	Undetermined
323	39A	B2m	SYBR	Unknown	Undetermined
325	42A	B2m	SYBR	Unknown	28.762188
326	42A	B2m	SYBR	Unknown	28.301647
327	42A	B2m	SYBR	Unknown	28.053528
329	42A3	B2m	SYBR	Unknown	28.64335
330	42A3	B2m	SYBR	Unknown	28.321352
331	42A3	B2m	SYBR	Unknown	27.948988
333	59A	B2m	SYBR	Unknown	29.314764
334	59A	B2m	SYBR	Unknown	29.37709
335	59A	B2m	SYBR	Unknown	30.580444
289	61A	B2m	SYBR	Unknown	26.882763
290	61A	B2m	SYBR	Unknown	27.037928
291	61A	B2m	SYBR	Unknown	27.146732
293	67A	B2m	SYBR	Unknown	28.8998
294	67A	B2m	SYBR	Unknown	29.179277
295	67A	B2m	SYBR	Unknown	28.955692
297	72A2	B2m	SYBR	Unknown	29.668318
298	72A2	B2m	SYBR	Unknown	29.183996
299	72A2	B2m	SYBR	Unknown	30.57062
301	76A	B2m	SYBR	Unknown	28.8695
302	76A	B2m	SYBR	Unknown	28.70035
303	76A	B2m	SYBR	Unknown	29.010464
305	81A	B2m	SYBR	Unknown	27.254435
306	81A	B2m	SYBR	Unknown	28.936172
307	81A	B2m	SYBR	Unknown	26.513262
309	82A	B2m	SYBR	Unknown	29.588028
310	82A	B2m	SYBR	Unknown	28.484692
311	82A	B2m	SYBR	Unknown	29.007664
241	N1 SCOMP	B2m	SYBR	Unknown	27.47638
242	N1 SCOMP	B2m	SYBR	Unknown	28.688963
243	N1 SCOMP	B2m	SYBR	Unknown	27.400072
249	N34 WGA CONTROL	B2m	SYBR	Unknown	23.905994
250	N34 WGA CONTROL	B2m	SYBR	Unknown	23.731096
251	N34 WGA CONTROL	B2m	SYBR	Unknown	24.70519
253	NTC	B2m	SYBR	Unknown	Undetermined
254	NTC	B2m	SYBR	Unknown	Undetermined
255	NTC	B2m	SYBR	Unknown	Undetermined
















97	119A	PITPNC1	SYBR	Unknown	30.539354
98	119A	PITPNC1	SYBR	Unknown	30.34485
99	119A	PITPNC1	SYBR	Unknown	30.404419
101	122A3	PITPNC1	SYBR	Unknown	29.061361
102	122A3	PITPNC1	SYBR	Unknown	28.963003
103	122A3	PITPNC1	SYBR	Unknown	29.228567
105	124A2	PITPNC1	SYBR	Unknown	33.552876
106	124A2	PITPNC1	SYBR	Unknown	35.710632
107	124A2	PITPNC1	SYBR	Unknown	33.45091
109	126A	PITPNC1	SYBR	Unknown	27.02122
110	126A	PITPNC1	SYBR	Unknown	27.415836
111	126A	PITPNC1	SYBR	Unknown	27.222574
113	128A	PITPNC1	SYBR	Unknown	30.945967
114	128A	PITPNC1	SYBR	Unknown	31.168983
115	128A	PITPNC1	SYBR	Unknown	31.912294
1	12A	PITPNC1	SYBR	Unknown	23.419636
2	12A	PITPNC1	SYBR	Unknown	22.928194
3	12A	PITPNC1	SYBR	Unknown	23.304642
117	130A	PITPNC1	SYBR	Unknown	25.07395
118	130A	PITPNC1	SYBR	Unknown	26.225657
119	130A	PITPNC1	SYBR	Unknown	23.80145
125	132A	PITPNC1	SYBR	Unknown	26.269121
126	132A	PITPNC1	SYBR	Unknown	25.497736
127	132A	PITPNC1	SYBR	Unknown	25.739645
5	13A	PITPNC1	SYBR	Unknown	27.593706
6	13A	PITPNC1	SYBR	Unknown	28.732317
7	13A	PITPNC1	SYBR	Unknown	27.590765
9	14A	PITPNC1	SYBR	Unknown	33.117287
10	14A	PITPNC1	SYBR	Unknown	33.461937
11	14A	PITPNC1	SYBR	Unknown	33.780098
13	18A2	PITPNC1	SYBR	Unknown	30.493925
14	18A2	PITPNC1	SYBR	Unknown	30.917885
15	18A2	PITPNC1	SYBR	Unknown	31.01824
17	19A	PITPNC1	SYBR	Unknown	26.787241
18	19A	PITPNC1	SYBR	Unknown	26.968603
19	19A	PITPNC1	SYBR	Unknown	26.730206
21	23A	PITPNC1	SYBR	Unknown	32.58314
22	23A	PITPNC1	SYBR	Unknown	32.456715
23	23A	PITPNC1	SYBR	Unknown	32.946888
25	23A	PITPNC1	SYBR	Unknown	29.390707
26	23A	PITPNC1	SYBR	Unknown	29.554789
27	23A	PITPNC1	SYBR	Unknown	29.944965
29	24A	PITPNC1	SYBR	Unknown	26.922709
30	24A	PITPNC1	SYBR	Unknown	27.178205
31	24A	PITPNC1	SYBR	Unknown	26.899694
33	25A	PITPNC1	SYBR	Unknown	29.806856
34	25A	PITPNC1	SYBR	Unknown	30.786657
35	25A	PITPNC1	SYBR	Unknown	Undetermined
37	30A	PITPNC1	SYBR	Unknown	32.18004
38	30A	PITPNC1	SYBR	Unknown	28.497478
39	30A	PITPNC1	SYBR	Unknown	28.306133
41	31A	PITPNC1	SYBR	Unknown	26.235434
42	31A	PITPNC1	SYBR	Unknown	26.364342
43	31A	PITPNC1	SYBR	Unknown	26.335028
45	32A	PITPNC1	SYBR	Unknown	27.972195
46	32A	PITPNC1	SYBR	Unknown	27.494905
47	32A	PITPNC1	SYBR	Unknown	27.298956
49	37A	PITPNC1	SYBR	Unknown	29.023163
50	37A	PITPNC1	SYBR	Unknown	26.162584
51	37A	PITPNC1	SYBR	Unknown	26.096504
53	38A	PITPNC1	SYBR	Unknown	26.672962
54	38A	PITPNC1	SYBR	Unknown	26.571693
55	38A	PITPNC1	SYBR	Unknown	26.040512
57	39A	PITPNC1	SYBR	Unknown	25.907337
58	39A	PITPNC1	SYBR	Unknown	25.927784
59	39A	PITPNC1	SYBR	Unknown	25.50786
61	42A	PITPNC1	SYBR	Unknown	27.962543
62	42A	PITPNC1	SYBR	Unknown	31.931316
63	42A	PITPNC1	SYBR	Unknown	26.639414
65	42A3	PITPNC1	SYBR	Unknown	28.238333
66	42A3	PITPNC1	SYBR	Unknown	28.519817
67	42A3	PITPNC1	SYBR	Unknown	28.491377
69	59A	PITPNC1	SYBR	Unknown	30.226143
70	59A	PITPNC1	SYBR	Unknown	30.335451
71	59A	PITPNC1	SYBR	Unknown	30.031538
73	61A	PITPNC1	SYBR	Unknown	27.659199
74	61A	PITPNC1	SYBR	Unknown	27.176537
75	61A	PITPNC1	SYBR	Unknown	26.502434
77	67A	PITPNC1	SYBR	Unknown	30.627153
78	67A	PITPNC1	SYBR	Unknown	30.372284
79	67A	PITPNC1	SYBR	Unknown	30.403322
81	72A2	PITPNC1	SYBR	Unknown	29.161453
82	72A2	PITPNC1	SYBR	Unknown	28.835829
83	72A2	PITPNC1	SYBR	Unknown	28.680197
85	76A	PITPNC1	SYBR	Unknown	29.419252
86	76A	PITPNC1	SYBR	Unknown	28.959377
87	76A	PITPNC1	SYBR	Unknown	28.922632
89	81A	PITPNC1	SYBR	Unknown	27.748817
90	81A	PITPNC1	SYBR	Unknown	26.727684
91	81A	PITPNC1	SYBR	Unknown	26.63099
93	82A	PITPNC1	SYBR	Unknown	30.81258
94	82A	PITPNC1	SYBR	Unknown	30.784018
95	82A	PITPNC1	SYBR	Unknown	31.092102
121	N1 SCOMP	PITPNC1	SYBR	Unknown	30.751537
122	N1 SCOMP	PITPNC1	SYBR	Unknown	30.637959
123	N1 SCOMP	PITPNC1	SYBR	Unknown	30.715542
129	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	26.724697
130	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	26.726973
131	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	26.856543
133	NTC	PITPNC1	SYBR	Unknown	Undetermined
134	NTC	PITPNC1	SYBR	Unknown	Undetermined
135	NTC	PITPNC1	SYBR	Unknown	Undetermined
