Slide name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High	ROI name
II-1-1	1420	3	156	78	Tumor
II-1-2	1609	5	143	67	Tumor
II-1-3	1167	5	135	63	Tumor
II-111-1	749	2	39	4	Tumor
II-111-3	137	1	7	3	Tumor
II-124-1	792	2	135	1	Tumor
II-149-1	985	2	214	23	Tumor
II-149-2	1089	1	334	142	Tumor
II-149-3	1869	6	572	44	Tumor
II-163-1	23	0	1	1	Tumor
II-163-2	1966	0	17	26	Tumor
II-163-3	60	0	5	1	Tumor
II-178-1	439	1	47	2	Tumor
II-178-2	698	1	77	5	Tumor
II-178-3	657	1	63	13	Tumor
II-194-1	922	2	67	70	Tumor
II-194-2	839	3	50	52	Tumor
II-194-3	721	4	38	28	Tumor
II-200-1	864	8	54	7	Tumor
II-200-2	759	1	119	4	Tumor
II-200-3	777	6	84	6	Tumor
II-215-1	304	2	50	5	Tumor
II-215-2	137	0	35	3	Tumor
II-215-3	1046	2	125	14	Tumor
II-277-1	2950	2	131	33	Tumor
II-277-2	2825	1	67	2	Tumor
II-277-3	2209	2	51	4	Tumor
II-288-1	1420	6	403	50	Tumor
II-288-2	1819	16	395	20	Tumor
II-288-3	4	0	1	1	Tumor
II-307-1	1128	13	226	60	Tumor
II-307-2	880	5	165	85	Tumor
II-307-3	1459	11	299	83	Tumor
II-310-1	53	0	2	0	Tumor
II-34-3	91	0	3	0	Tumor
II-35-1	2414	10	397	489	Tumor
II-35-2	2981	9	510	374	Tumor
II-373-1	1249	0	36	1	Tumor
II-373-2	681	2	61	3	Tumor
II-373-3	522	3	77	5	Tumor
II-390-1	858	0	114	7	Tumor
II-390-2	920	4	82	18	Tumor
II-390-3	770	1	64	4	Tumor
II-396-1	2720	8	184	107	Tumor
II-396-2	1845	5	134	48	Tumor
II-396-3	1648	1	122	55	Tumor
II-443-1	1289	8	177	87	Tumor
II-443-2	958	6	194	60	Tumor
II-474-1	682	1	47	8	Tumor
II-474-3	278	0	34	2	Tumor
II-483-1	1137	0	18	0	Tumor
II-483-2	597	0	18	6	Tumor
II-483-3	1335	0	27	8	Tumor
II-527-1	53	0	2	2	Tumor
II-527-3	2016	3	229	63	Tumor
II-560-1	909	0	3	0	Tumor
II-560-2	160	0	4	0	Tumor
II-560-3	389	8	20	0	Tumor
II-63-1	948	17	204	120	Tumor
II-63-2	1219	19	186	150	Tumor
II-63-3	1266	19	305	146	Tumor
II-639-1	1081	2	13	0	Tumor
II-639-2	997	1	15	0	Tumor
II-639-3	1001	2	12	0	Tumor
II-660-1	337	0	11	1	Tumor
II-660-2	1183	15	75	7	Tumor
II-660-3	32	0	1	0	Tumor
