Slide name	ROI name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High
IV-116-1	Tumor	949	4	13	11
IV-116-2	Tumor	751	7	64	23
IV-116-3	Tumor	382	3	30	15
IV-121-3	Tumor	407	0	16	1
IV-123-1	Tumor	831	4	145	60
IV-123-2	Tumor	1554	7	187	100
IV-131-1	Tumor	2261	8	211	14
IV-131-2	Tumor	2495	8	206	1
IV-131-3	Tumor	1569	5	176	4
IV-134-1	Tumor	1372	7	216	1
IV-134-2	Tumor	527	4	80	0
IV-134-3	Tumor	238	1	16	0
IV-138-1	Tumor	66	0	2	0
IV-155-1	Tumor	51	1	4	5
IV-155-2	Tumor	12	0	0	0
IV-161-1	Tumor	113	1	3	1
IV-161-2	Tumor	650	3	46	3
IV-173-2	Tumor	484	2	4	0
IV-173-3	Tumor	2335	10	66	0
IV-2-1	Tumor	1197	5	126	20
IV-2-2	Tumor	299	0	12	2
IV-2-3	Tumor	51	0	2	3
IV-210-1	Tumor	628	0	6	2
IV-210-2	Tumor	485	0	5	3
IV-210-3	Tumor	304	0	5	4
IV-230-2	Tumor	620	2	103	20
IV-230-3	Tumor	249	3	14	2
IV-231-1	Tumor	3	0	0	0
IV-231-2	Tumor	12	0	2	0
IV-253-1	Tumor	26	0	2	1
IV-253-2	Tumor	465	2	39	23
IV-253-3	Tumor	405	0	14	13
IV-255-2	Tumor	237	2	19	1
IV-255-3	Tumor	790	7	59	13
IV-269-1	Tumor	304	5	10	1
IV-269-3	Tumor	216	0	4	2
IV-280-1	Tumor	1142	10	60	17
IV-280-2	Tumor	687	3	17	6
IV-280-3	Tumor	100	1	1	2
IV-298-1	Tumor	617	2	142	147
IV-298-2	Tumor	589	5	93	68
IV-298-3	Tumor	480	3	88	97
IV-338-2	Tumor	324	1	14	2
IV-338-3	Tumor	460	2	10	0
IV-363-1	Tumor	17	0	3	1
IV-363-3	Tumor	11	0	0	0
IV-377-1	Tumor	1753	4	60	13
IV-377-2	Tumor	2240	6	95	9
IV-377-3	Tumor	1785	7	72	0
IV-38-2	Tumor	577	3	19	11
IV-38-3	Tumor	279	1	6	6
IV-387-3	Tumor	278	3	3	1
IV-398-1	Tumor	1025	13	323	8
IV-398-2	Tumor	657	4	224	8
IV-398-3	Tumor	2178	7	1451	73
IV-411-1	Tumor	779	3	87	114
IV-411-2	Tumor	264	0	24	8
IV-411-3	Tumor	512	0	51	39
IV-417-1	Tumor	1067	4	94	48
IV-417-2	Tumor	413	0	55	29
IV-417-3	Tumor	416	1	45	41
IV-438-1	Tumor	150	2	3	2
IV-438-2	Tumor	238	1	31	5
IV-438-3	Tumor	686	2	31	1
IV-440-2	Tumor	2343	9	147	119
IV-440-3	Tumor	119	0	10	2
IV-457-1	Tumor	990	5	49	7
IV-457-2	Tumor	1994	4	101	17
IV-457-3	Tumor	1709	3	107	20
IV-518-1	Tumor	1927	0	15	0
IV-518-2	Tumor	1093	0	7	0
IV-518-3	Tumor	373	2	2	0
IV-519-1	Tumor	2377	17	618	39
IV-519-2	Tumor	2980	27	738	37
IV-519-3	Tumor	943	2	206	26
IV-53-1	Tumor	1041	10	273	38
IV-53-2	Tumor	1054	7	380	32
IV-53-3	Tumor	1791	15	451	34
IV-536-1	Tumor	1439	3	123	115
IV-536-2	Tumor	1552	6	140	104
IV-536-3	Tumor	1419	5	109	69
IV-544-1	Tumor	1066	1	35	3
IV-544-2	Tumor	480	1	23	2
IV-544-3	Tumor	1936	2	44	0
IV-623-2	Tumor	103	0	4	7
IV-623-3	Tumor	230	1	14	2
IV-626-1	Tumor	924	5	129	39
IV-626-2	Tumor	961	8	121	52
IV-626-3	Tumor	1796	8	192	92
IV-64-2	Tumor	612	4	86	21
IV-64-3	Tumor	310	2	52	15
IV-643-1	Tumor	518	1	24	21
IV-643-2	Tumor	174	0	11	4
IV-643-3	Tumor	15	0	0	2
IV-658-1	Tumor	9	0	0	0
IV-658-3	Tumor	17	0	0	0
IV-667-1	Tumor	1705	2	105	5
IV-667-2	Tumor	904	2	19	2
IV-667-3	Tumor	1123	2	38	4
IV-681-1	Tumor	165	1	4	1
IV-681-2	Tumor	69	1	5	0
IV-681-3	Tumor	339	0	43	3
IV-692-1	Tumor	82	0	3	7
IV-692-2	Tumor	127	1	11	10
IV-692-3	Tumor	119	0	2	6
IV-87-1	Tumor	2278	17	395	21
IV-87-2	Tumor	1043	4	190	6
IV-87-3	Tumor	1916	8	249	21
