Slide name	ROI name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High
V-244-2-730754	Acellular ztroma	33	0	0	0
V-244-3-730743	Tumor	98	4	1	0
V-244-3-730743	Acellular ztroma	85	4	2	1
V-249-1-730702	Tumor	726	29	36	26
V-249-1-730702	Acellular ztroma	444	8	6	0
V-249-2-730712	Tumor	803	31	35	42
V-249-2-730712	Acellular ztroma	256	4	1	2
V-26-1-730706	Tumor	2060	1	1	0
V-26-1-730706	Acellular ztroma	379	0	0	0
V-26-2-730716	Tumor	2499	3	0	0
V-26-2-730716	Acellular ztroma	556	0	0	0
V-26-3-730705	Tumor	1937	4	0	0
V-26-3-730705	Acellular ztroma	629	0	0	0
V-271-1-730522	Tumor	585	10	0	0
V-271-1-730522	Acellular ztroma	150	1	0	0
V-271-2-730532	Tumor	368	9	0	0
V-271-2-730532	Acellular ztroma	85	1	0	0
V-271-3-730521	Tumor	447	13	3	0
V-271-3-730521	Acellular ztroma	85	0	0	0
V-28-1-730646	Tumor	294	9	7	0
V-28-1-730646	Acellular ztroma	301	0	1	1
V-28-2-730656	Tumor	335	12	3	2
V-28-2-730656	Acellular ztroma	453	6	3	0
V-28-3-730645	Tumor	438	12	8	5
V-28-3-730645	Acellular ztroma	374	0	1	1
V-282-1-730542	Tumor	47	1	1	0
V-282-1-730542	Acellular ztroma	11	0	0	0
V-295-1-730722	Tumor	1515	199	221	172
V-295-1-730722	Acellular ztroma	214	7	7	1
V-295-2-730732	Tumor	511	54	64	35
V-295-2-730732	Acellular ztroma	83	1	2	1
V-295-3-730721	Tumor	555	52	49	37
V-295-3-730721	Acellular ztroma	166	4	1	2
V-301-1-730742	Tumor	1741	18	7	8
V-301-1-730742	Acellular ztroma	203	4	0	0
V-301-2-730752	Tumor	2933	25	22	27
V-301-2-730752	Acellular ztroma	651	1	2	0
V-301-3-730741	Tumor	3129	17	10	5
V-301-3-730741	Acellular ztroma	1186	3	1	1
V-321-1-730660	Tumor	1898	90	127	24
V-321-1-730660	Acellular ztroma	600	6	5	0
V-321-2-730670	Tumor	1745	123	142	32
V-321-2-730670	Acellular ztroma	713	8	6	0
V-321-3-730659	Tumor	1848	155	209	131
V-321-3-730659	Acellular ztroma	786	14	7	3
V-341-1-730604	Tumor	1166	48	36	14
V-341-1-730604	Acellular ztroma	480	4	3	2
V-341-2-730614	Tumor	1911	83	63	41
V-341-2-730614	Acellular ztroma	836	10	9	2
V-341-3-730603	Tumor	1331	52	56	32
V-341-3-730603	Acellular ztroma	477	11	8	2
V-342-1-730562	Tumor	2014	100	2	2
V-342-1-730562	Acellular ztroma	748	5	0	0
V-342-2-730572	Tumor	1820	270	26	3
V-342-2-730572	Acellular ztroma	342	5	0	0
V-342-3-730561	Tumor	1633	211	16	2
V-342-3-730561	Acellular ztroma	723	28	1	0
V-346-1-730680	Tumor	26	0	0	0
V-346-3-730679	Tumor	37	0	0	0
V-347-1-730638	Tumor	1441	22	12	1
V-347-1-730638	Acellular ztroma	184	1	0	0
V-347-2-730648	Tumor	1443	37	31	21
V-347-2-730648	Acellular ztroma	110	1	0	1
V-347-3-730637	Tumor	1492	69	52	45
V-347-3-730637	Acellular ztroma	161	2	1	0
V-353-1-730700	Tumor	640	4	1	0
V-353-1-730700	Acellular ztroma	534	2	0	0
V-353-2-730710	Tumor	928	2	0	0
V-353-2-730710	Acellular ztroma	792	1	0	0
V-353-3-730699	Tumor	97	0	1	0
V-353-3-730699	Acellular ztroma	63	0	0	0
V-36-1-730726	Tumor	1682	85	2	0
V-36-1-730726	Acellular ztroma	69	1	0	0
V-36-2-730736	Tumor	1874	135	5	1
V-36-2-730736	Acellular ztroma	278	1	1	0
V-36-3-730725	Tumor	1898	110	11	1
V-36-3-730725	Acellular ztroma	65	1	0	0
V-382-1-730624	Tumor	538	192	19	12
V-382-1-730624	Acellular ztroma	56	2	0	0
V-382-2-730634	Tumor	2297	787	72	46
V-382-2-730634	Acellular ztroma	203	7	1	0
V-382-3-730623	Tumor	2745	446	152	24
V-382-3-730623	Acellular ztroma	90	3	0	0
V-395-1-730720	Tumor	1426	14	11	6
V-395-1-730720	Acellular ztroma	506	3	2	0
V-395-2-730730	Tumor	77	1	1	0
V-395-2-730730	Acellular ztroma	35	0	0	0
V-395-3-730719	Tumor	1215	55	42	12
V-395-3-730719	Acellular ztroma	484	5	5	0
V-408-1-730582	Tumor	1261	47	30	7
V-408-1-730582	Acellular ztroma	791	10	1	0
V-408-2-730592	Tumor	2802	187	125	30
V-408-2-730592	Acellular ztroma	662	6	1	0
V-408-3-730581	Tumor	112	6	2	0
V-408-3-730581	Acellular ztroma	39	1	0	0
V-413-1-730740	Tumor	1447	11	4	1
V-413-1-730740	Acellular ztroma	335	0	0	0
V-414-1-730666	Tumor	271	8	3	4
V-414-1-730666	Acellular ztroma	231	5	1	0
V-414-2-730676	Tumor	171	9	3	5
V-414-2-730676	Acellular ztroma	128	0	0	0
V-414-3-730665	Tumor	554	24	11	13
V-414-3-730665	Acellular ztroma	336	1	2	2
V-465-2-730530	Tumor	56	2	2	0
V-465-2-730530	Acellular ztroma	16	0	0	0
V-470-1-730602	Tumor	868	130	11	3
V-470-1-730602	Acellular ztroma	200	4	0	0
V-470-2-730612	Tumor	342	43	0	1
V-470-2-730612	Acellular ztroma	40	0	0	0
V-470-3-730601	Tumor	763	108	7	0
V-470-3-730601	Acellular ztroma	603	16	1	0
V-472-1-730686	Tumor	643	28	15	7
V-472-1-730686	Acellular ztroma	75	0	0	0
V-472-2-730696	Tumor	218	1	0	0
V-472-2-730696	Acellular ztroma	203	2	1	0
V-472-3-730685	Tumor	1261	106	33	13
V-472-3-730685	Acellular ztroma	199	3	0	0
V-481-1-730540	Tumor	1304	66	9	0
V-481-1-730540	Acellular ztroma	1039	5	2	0
V-481-2-730550	Tumor	700	42	13	0
V-481-2-730550	Acellular ztroma	436	4	0	0
V-481-3-730539	Tumor	1399	82	18	2
V-481-3-730539	Acellular ztroma	1010	14	1	0
V-487-1-730622	Tumor	1515	45	6	0
V-487-1-730622	Acellular ztroma	691	12	2	0
V-487-2-730632	Tumor	565	13	1	1
V-487-2-730632	Acellular ztroma	232	2	0	0
V-487-3-730621	Tumor	1159	56	2	0
V-487-3-730621	Acellular ztroma	657	3	0	0
V-500-1-730662	Tumor	3590	609	823	182
V-500-1-730662	Acellular ztroma	220	1	2	0
V-500-2-730672	Tumor	2567	457	581	332
V-500-2-730672	Acellular ztroma	156	3	0	1
V-500-3-730661	Tumor	2749	421	469	292
V-500-3-730661	Acellular ztroma	334	2	2	0
V-513-1-730580	Tumor	799	38	13	1
V-513-1-730580	Acellular ztroma	746	19	7	0
V-513-2-730590	Tumor	1530	22	21	0
V-513-2-730590	Acellular ztroma	141	1	0	0
V-513-3-730579	Tumor	1207	20	16	0
V-513-3-730579	Acellular ztroma	6	0	0	0
V-52-1-730586	Tumor	48	0	0	0
V-52-1-730586	Acellular ztroma	12	0	0	0
V-52-2-730596	Tumor	195	2	1	3
V-52-2-730596	Acellular ztroma	33	0	0	0
V-52-3-730585	Tumor	18	2	0	0
V-520-1-730560	Tumor	160	0	0	0
V-520-1-730560	Acellular ztroma	34	0	0	0
V-520-2-730570	Tumor	383	1	1	3
V-520-2-730570	Acellular ztroma	152	0	0	0
V-520-3-730559	Tumor	50	0	0	2
V-520-3-730559	Acellular ztroma	57	0	0	0
V-529-1-730698	Tumor	2470	189	109	12
V-529-1-730698	Acellular ztroma	591	2	0	0
V-529-2-730708	Tumor	2223	153	98	8
V-529-2-730708	Acellular ztroma	743	10	1	0
V-529-3-730697	Tumor	351	19	4	0
V-529-3-730697	Acellular ztroma	81	0	0	0
V-533-1-730600	Tumor	1482	20	1	0
V-533-1-730600	Acellular ztroma	585	2	0	0
V-533-2-730610	Tumor	1443	69	0	0
V-533-2-730610	Acellular ztroma	709	1	0	0
V-533-3-730599	Tumor	409	39	2	0
V-533-3-730599	Acellular ztroma	483	4	1	0
V-572-3-730517	Tumor	109	2	4	0
V-572-3-730517	Acellular ztroma	42	0	0	0
V-587-1-730738	Tumor	385	16	20	3
V-587-1-730738	Acellular ztroma	36	1	0	0
V-587-2-730748	Tumor	61	2	1	0
V-587-2-730748	Acellular ztroma	2	0	0	0
V-587-3-730737	Tumor	52	7	2	2
V-599-1-730678	Tumor	807	39	28	8
V-599-1-730678	Acellular ztroma	2	0	0	0
V-599-2-730688	Tumor	201	12	4	0
V-599-2-730688	Acellular ztroma	13	1	0	0
V-599-3-730677	Tumor	871	36	38	17
V-599-3-730677	Acellular ztroma	175	2	5	0
V-603-1-730644	Tumor	1688	56	35	16
V-603-1-730644	Acellular ztroma	479	6	0	0
V-603-2-730654	Tumor	650	23	13	7
V-603-2-730654	Acellular ztroma	198	1	1	1
V-603-3-730643	Tumor	1458	49	45	18
V-603-3-730643	Acellular ztroma	197	1	1	0
V-608-1-730558	Tumor	296	11	2	0
V-608-1-730558	Acellular ztroma	91	1	0	0
V-608-2-730568	Tumor	824	47	23	2
V-608-2-730568	Acellular ztroma	122	1	0	0
V-608-3-730557	Tumor	135	7	1	1
V-608-3-730557	Acellular ztroma	10	0	0	0
V-616-2-730630	Tumor	1268	112	100	80
V-616-2-730630	Acellular ztroma	146	8	2	1
V-616-3-730619	Tumor	490	85	58	20
V-616-3-730619	Acellular ztroma	285	15	1	0
V-617-1-730578	Tumor	1333	33	0	0
V-617-1-730578	Acellular ztroma	253	2	0	0
V-617-2-730588	Tumor	1337	73	8	0
V-617-2-730588	Acellular ztroma	347	6	0	0
V-617-3-730577	Tumor	2106	66	3	1
V-617-3-730577	Acellular ztroma	60	1	0	0
V-620-1-730598	Tumor	2624	259	224	139
V-620-1-730598	Acellular ztroma	313	2	0	1
V-620-2-730608	Tumor	2176	265	244	116
V-620-2-730608	Acellular ztroma	406	7	4	1
V-620-3-730597	Tumor	3228	379	459	220
V-620-3-730597	Acellular ztroma	313	7	2	0
V-634-1-730664	Tumor	1103	71	37	3
V-634-1-730664	Acellular ztroma	628	16	2	0
V-634-2-730674	Tumor	1011	22	13	0
V-634-2-730674	Acellular ztroma	542	5	0	0
V-634-3-730663	Tumor	1277	22	18	5
V-634-3-730663	Acellular ztroma	460	2	2	0
V-641-3-730717	Tumor	301	8	7	1
V-641-3-730717	Acellular ztroma	74	0	0	0
V-65-1-730526	Tumor	344	9	9	8
V-65-1-730526	Acellular ztroma	324	4	5	0
V-65-2-730536	Tumor	424	14	15	7
V-65-2-730536	Acellular ztroma	262	2	1	0
V-65-3-730525	Tumor	318	17	7	4
V-65-3-730525	Acellular ztroma	115	0	0	0
V-656-1-730618	Tumor	1454	79	59	30
V-656-1-730618	Acellular ztroma	194	3	3	0
V-656-2-730628	Tumor	293	6	5	2
V-656-2-730628	Acellular ztroma	45	0	0	0
V-656-3-730617	Tumor	509	11	10	1
V-656-3-730617	Acellular ztroma	84	0	0	0
V-70-2-730756	Tumor	1049	27	11	6
V-70-2-730756	Acellular ztroma	184	0	0	0
V-70-3-730745	Tumor	21	1	0	0
V-89-1-730606	Tumor	1786	4	1	0
V-89-1-730606	Acellular ztroma	136	0	0	0
V-89-2-730616	Tumor	766	0	0	0
V-89-2-730616	Acellular ztroma	64	0	0	0
V-89-3-730605	Tumor	149	0	0	0
V-89-3-730605	Acellular ztroma	53	0	0	0
V-92-1-730546	Tumor	566	14	8	1
V-92-1-730546	Acellular ztroma	145	0	1	0
V-92-2-730556	Tumor	2574	45	28	12
V-92-2-730556	Acellular ztroma	197	1	0	0
V-92-3-730545	Tumor	2545	81	58	49
V-92-3-730545	Acellular ztroma	230	2	0	0
V-97-1-730704	Tumor	106	10	2	0
V-97-1-730704	Acellular ztroma	18	0	0	0
V-97-2-730714	Tumor	331	4	2	0
V-97-2-730714	Acellular ztroma	201	0	0	0
V-97-3-730703	Tumor	264	15	7	1
V-97-3-730703	Acellular ztroma	70	1	0	0
V-98-1-730626	Tumor	406	12	17	16
V-98-1-730626	Acellular ztroma	444	4	4	0
V-98-2-730636	Tumor	141	17	6	8
V-98-2-730636	Acellular ztroma	40	1	0	0
V-98-3-730625	Tumor	596	36	29	12
V-98-3-730625	Acellular ztroma	240	3	0	0
