Slide name	ROI name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High
V-122-2-730576	Tumor	108	4	0	0
V-122-2-730576	Acellular ztroma	46	0	0	0
V-122-3-730565	Tumor	275	4	2	0
V-122-3-730565	Acellular ztroma	98	1	0	0
V-126-1-730682	Tumor	711	26	0	0
V-126-1-730682	Acellular ztroma	507	11	0	0
V-126-3-730681	Tumor	219	14	2	0
V-126-3-730681	Acellular ztroma	21	0	0	0
V-148-1-730684	Tumor	107	1	1	1
V-148-1-730684	Acellular ztroma	40	0	0	0
V-148-2-730694	Tumor	247	13	6	12
V-148-2-730694	Acellular ztroma	88	1	0	2
V-148-3-730683	Tumor	87	7	5	6
V-148-3-730683	Acellular ztroma	52	0	0	1
V-168-1-730584	Tumor	34	0	1	1
V-168-1-730584	Acellular ztroma	7	0	0	0
V-168-2-730594	Tumor	152	1	3	0
V-168-2-730594	Acellular ztroma	75	0	0	0
V-168-3-730583	Tumor	163	11	7	1
V-168-3-730583	Acellular ztroma	43	1	0	0
V-189-1-730524	Tumor	2915	60	55	17
V-189-1-730524	Acellular ztroma	549	2	0	0
V-189-2-730534	Tumor	2926	102	82	51
V-189-2-730534	Acellular ztroma	484	1	3	0
V-189-3-730523	Tumor	601	13	10	0
V-189-3-730523	Acellular ztroma	116	0	0	0
V-190-1-730724	Tumor	877	69	46	27
V-190-1-730724	Acellular ztroma	212	5	0	0
V-190-2-730734	Tumor	1292	132	111	11
V-190-2-730734	Acellular ztroma	405	3	4	0
V-190-3-730723	Tumor	1565	151	103	16
V-190-3-730723	Acellular ztroma	478	8	2	0
V-206-3-730543	Tumor	38	3	0	0
V-228-1-730564	Tumor	653	6	4	3
V-228-1-730564	Acellular ztroma	108	0	0	0
V-228-2-730574	Tumor	72	0	0	0
V-228-2-730574	Acellular ztroma	2	0	0	0
V-228-3-730563	Tumor	862	2	4	0
V-228-3-730563	Acellular ztroma	150	0	0	0
V-240-1-730538	Tumor	1365	245	247	41
V-240-1-730538	Acellular ztroma	237	10	4	0
V-240-2-730548	Tumor	884	155	148	33
V-240-2-730548	Acellular ztroma	167	1	2	0
V-240-3-730537	Tumor	759	122	153	21
V-240-3-730537	Acellular ztroma	108	1	0	0
V-241-1-730640	Tumor	2440	53	77	72
V-241-1-730640	Acellular ztroma	374	1	0	1
V-241-2-730650	Tumor	2346	92	81	71
V-241-2-730650	Acellular ztroma	330	2	0	0
V-241-3-730639	Tumor	1539	51	52	35
V-241-3-730639	Acellular ztroma	249	1	1	0
V-244-1-730744	Tumor	82	0	0	0
V-244-1-730744	Acellular ztroma	18	1	0	0
V-244-2-730754	Tumor	144	7	2	0
